"n","pH_t","pH_sal","pH_DIC","pH_AT","station","date","pH_total","pH_NBS","temperature","salinity","Alkalinity","DIC","month","season"
"1",-0.0146662183109266,-0.0559728145661229,-0.00632000045087718,0.00588988031287398,"Museu",2017-05-08,8.3566897710043,8.46605,21.2,6,802.73830608208,727.075698732424,5,"autumn"
"2",-0.0112864718247924,-0.00752891686227358,-0.00386475424745701,0.00401166000877414,"Museu",2017-05-15,7.85505323523331,7.90361,17.3,25,1667.58503278969,1720.54371476734,5,"autumn"
"3",-0.0090552495242919,-0.0196309799548807,-0.000355102620858099,0.00100220292295838,"Museu",2017-05-22,7.48872090356061,7.57916,17.1,5,667.356716046389,1887.03828550234,5,"autumn"
"4",-0.0095251653340132,-0.0125361558884736,-0.00180684996250943,0.00229903146855629,"Museu",2017-05-29,7.49054620317103,7.57253,16.8,9,866.261526308181,1101.69496842538,5,"autumn"
"5",-0.00906096829863487,-0.0230576518078161,-0.000412188062342172,0.0011396678848824,"Museu",2017-06-26,7.29042568827272,7.38233,16.6,4,593.541432053195,1644.2885093711,6,"autumn"
"6",-0.00979318895484161,-0.0193502770103098,-0.000394220591275928,0.00100881230073769,"Museu",2017-07-03,7.53772313159117,7.5978,14.1,5,703.317506372274,1802.33446584083,7,"winter"
"7",-0.0111529964350392,-0.0163680418740056,-0.00661817514558532,0.00680433358242724,"Museu",2017-08-03,7.76300635327005,7.83291,17.1,11,1187.59622500545,1215.61105535399,8,"winter"
"8",-0.00870715573222938,-0.0234712027704336,-0.00119578452826623,0.00172956760756849,"Museu",2017-09-05,7.4188331127654,7.52302,18.2,4,808.12689104912,1169.03967836822,9,"winter"
"9",-0.00825567085903816,-0.0371958923703597,-0.000706251918047833,0.00131719938742266,"Museu",2017-10-04,7.51870272258421,7.62694,18.6,2,708.215689950477,1321.75021844462,10,"spring"
"10",-0.00637675064357356,-0.219944634907979,-0.000415151837123276,0.00106211329778308,"Museu",2017-12-07,7.52034708471223,7.66496,22.6,0,669.118300550038,1713.72827688376,12,"spring"
"11",-0.0109207115888665,-0.00827951922564902,-0.00385329576795862,0.00395948453497575,"Museu",2018-01-04,7.8442564956253,7.96898,23.3,25,1765.20258144599,1801.21811039071,1,"summer"
"12",-0.00929728625470298,-0.0113746039109511,-0.00590743279750974,0.00628132814431364,"Museu",2018-02-05,8.03794844772424,8.17512,23.7,14,877.169622564751,928.423333249753,2,"summer"
"13",-0.0142074288923718,-0.0121463537290404,-0.00243178593351322,0.00231920695603312,"Museu",2018-03-06,7.8625444488912,8.013,25.7,30,2242.45172923198,2087.17763500624,3,"summer"
"14",-0.0127235313534519,-0.0287557314945012,-0.00691904098426774,0.00680446978497407,"Museu",2018-03-29,7.85809464305946,8.01156,24.8,10,1167.36465118243,1134.98726949619,3,"summer"
"15",-0.0122647759087084,-0.018786305945155,-0.00627878890026129,0.00628620996400309,"Museu",2018-05-03,7.59412638656324,7.70681,20.8,13,1367.4298568713,1358.11415346104,5,"autumn"
